,Date,Time,Race,Gender,Body_Size,With_Kids,Kids_Category,Basket_Size,Basket_colour,Attire,Shirt_Colour,shirt_type,Pants_Colour,pants_type,Wash_Item,Spectacles,Age_Range,Washer_No,Dryer_No,TimeSpent_minutes,buyDrinks,TotalSpent_RM,latitude,longitude,Num_of_Baskets
1565,08/01/2016,23:56:57,foreigner,male,moderate,yes,toddler,big,black,casual,orange,short_sleeve,green,long,blankets,no,26,3,9,47,4,21,3.041415253,101.402681,1
3454,08/01/2016,10:11:06,malay,female,moderate,yes,toddler,big,orange,formal,yellow,long sleeve,purple,short,clothes,no,40,6,9,12,1,8,2.917113839,101.6721468,1
1316,08/01/2016,22:58:19,chinese,female,fat,yes,young,big,white,traditional,green,long sleeve,green,short,clothes,yes,25,5,9,32,3,17,3.146356521,101.7424112,2
3401,08/01/2016,23:05:52,foreigner,female,moderate,no,no_kids,small,pink,traditional,orange,short_sleeve,grey,short,clothes,no,34,6,9,42,0,20,3.108561386,101.7388502,3
2699,08/01/2016,12:41:56,indian,male,thin,yes,toddler,big,yellow,casual,brown,long sleeve,red,short,clothes,yes,34,5,7,15,0,11,2.963425135,101.741978,2
1784,08/01/2016,10:51:29,indian,male,moderate,yes,toddler,small,orange,formal,black,short_sleeve,white,long,clothes,no,47,3,8,28,0,21,3.113089834,101.7157818,1
1371,08/01/2016,12:34:02,chinese,female,thin,yes,toddler,big,red,formal,black,long sleeve,purple,long,blankets,no,21,6,9,54,5,10,3.084862938,101.4669374,1
2038,08/01/2016,12:59:55,chinese,male,thin,no,no_kids,big,green,casual,black,short_sleeve,blue,long,blankets,no,50,4,9,54,1,12,3.113680029,101.5821819,3
3237,08/01/2016,16:41:05,indian,male,moderate,yes,young,big,green,traditional,black,long sleeve,blue,long,clothes,no,32,4,8,49,5,20,3.102390524,101.6795477,1
1005,08/01/2016,7:17:10,chinese,female,moderate,no,no_kids,small,black,casual,grey,short_sleeve,blue,long,clothes,no,57,6,9,11,2,11,3.1523111,101.7040689,1
3179,08/01/2016,17:20:22,malay,male,moderate,no,no_kids,small,red,traditional,black,short_sleeve,black,long,blankets,no,33,4,9,58,3,16,3.162543921,101.7682965,2
2919,08/01/2016,2:03:57,malay,female,thin,yes,baby,small,white,casual,blue,short_sleeve,red,short,clothes,no,44,4,8,13,4,15,2.945194034,101.6519096,1
3727,08/01/2016,16:04:39,malay,male,moderate,yes,toddler,small,yellow,formal,black,short_sleeve,blue,long,blankets,no,52,6,8,51,0,20,2.944764849,101.7341534,2
865,08/01/2016,6:54:13,indian,female,moderate,yes,toddler,big,brown,casual,white,short_sleeve,yellow,short,clothes,no,58,5,7,34,3,14,3.041640742,101.4298868,3
3518,08/01/2016,2:57:34,chinese,female,moderate,no,no_kids,small,white,casual,yellow,short_sleeve,blue,long,blankets,yes,39,5,10,53,0,7,2.915374472,101.739544,2
3523,08/01/2016,13:29:17,indian,male,moderate,yes,toddler,big,yellow,casual,purple,long sleeve,pink,short,blankets,yes,41,4,7,14,1,13,2.909816846,101.7431778,2
2577,08/01/2016,11:35:10,foreigner,female,moderate,no,no_kids,big,orange,casual,green,long sleeve,grey,long,clothes,yes,55,4,8,58,1,9,2.96568898,101.6499519,3
1935,08/01/2016,3:17:00,malay,male,fat,yes,toddler,big,red,casual,blue,long sleeve,red,long,blankets,no,20,4,10,20,5,18,3.048651036,101.4461484,3
1570,08/01/2016,6:14:12,indian,male,thin,yes,young,big,green,casual,red,short_sleeve,blue,long,clothes,yes,24,3,8,30,3,12,2.983941031,101.3821975,3
2847,08/01/2016,21:24:05,indian,female,moderate,no,no_kids,big,brown,formal,black,long sleeve,brown,long,blankets,no,29,4,8,39,0,19,3.134710508,101.7669341,1
1943,08/01/2016,15:38:57,malay,male,thin,yes,baby,small,blue,formal,pink,long sleeve,blue,long,blankets,yes,19,3,9,17,1,10,3.036629951,101.5566968,1
2593,08/01/2016,16:03:56,chinese,female,fat,no,no_kids,small,purple,casual,brown,short_sleeve,pink,short,clothes,no,32,3,9,59,4,7,2.932982259,101.7324483,1
1201,08/01/2016,22:30:16,malay,female,thin,yes,baby,small,green,traditional,white,short_sleeve,blue,short,clothes,no,30,4,10,28,3,19,3.136973948,101.6310609,2
2961,08/01/2016,16:29:00,malay,male,thin,no,no_kids,big,green,casual,red,long sleeve,pink,long,blankets,yes,37,5,9,25,5,20,3.09794826,101.6389724,2
951,08/01/2016,5:29:35,indian,male,fat,yes,young,big,yellow,casual,white,short_sleeve,blue,long,blankets,yes,52,4,10,32,2,20,3.083534231,101.6544407,1
1741,08/01/2016,22:43:50,chinese,female,fat,yes,toddler,small,yellow,traditional,pink,long sleeve,pink,long,blankets,yes,46,4,10,59,5,8,2.945685879,101.6329804,1
3053,08/01/2016,11:25:34,indian,male,fat,yes,toddler,small,red,casual,black,long sleeve,brown,short,blankets,no,60,6,9,25,3,12,3.082365897,101.5817517,2
3075,08/01/2016,20:11:12,malay,male,thin,yes,toddler,small,orange,casual,blue,long sleeve,white,short,blankets,yes,23,5,9,33,3,14,3.023471469,101.5541472,3
3836,08/01/2016,23:37:50,malay,male,moderate,yes,baby,small,pink,formal,black,short_sleeve,orange,short,blankets,no,57,6,8,35,1,15,3.104634334,101.6510063,1
2396,08/01/2016,20:33:50,chinese,male,thin,yes,young,small,black,formal,blue,short_sleeve,pink,long,clothes,no,36,4,9,52,2,8,3.128703093,101.7812652,1
1740,08/01/2016,8:39:17,indian,female,moderate,yes,young,small,orange,casual,purple,short_sleeve,blue,long,blankets,no,35,6,10,12,2,12,2.966208972,101.68881,2
2203,08/02/2016,7:22:33,foreigner,female,thin,yes,young,small,yellow,formal,yellow,long sleeve,blue,long,clothes,no,30,6,9,48,4,16,3.058580972,101.6382084,2
1092,08/02/2016,23:33:49,foreigner,female,moderate,yes,toddler,big,purple,formal,grey,short_sleeve,yellow,short,clothes,no,38,5,7,27,4,7,3.174702307,101.7005937,1
1411,08/02/2016,10:23:29,malay,female,thin,yes,toddler,big,red,casual,white,short_sleeve,green,long,blankets,yes,35,6,9,49,4,16,3.060834706,101.4719491,3
2873,08/02/2016,18:15:33,foreigner,female,moderate,yes,baby,small,white,traditional,pink,short_sleeve,green,long,blankets,yes,54,5,7,38,0,14,2.953151892,101.6457876,3
1395,08/02/2016,13:40:35,chinese,male,moderate,yes,young,small,yellow,traditional,purple,short_sleeve,blue,long,blankets,yes,30,3,10,22,1,9,3.061900432,101.6020112,3
3938,08/02/2016,4:06:28,foreigner,male,thin,yes,young,big,green,casual,blue,long sleeve,orange,long,blankets,yes,55,5,9,24,4,12,3.001018839,101.3892165,1
3509,08/02/2016,17:57:52,indian,female,moderate,no,no_kids,big,pink,formal,orange,long sleeve,blue,short,clothes,no,49,6,10,14,2,7,2.973086349,101.7149104,3
2689,08/02/2016,17:36:09,foreigner,male,moderate,yes,toddler,big,purple,formal,yellow,short_sleeve,orange,short,blankets,yes,38,3,10,38,3,9,3.148858394,101.7559802,2
1459,08/02/2016,9:28:02,malay,female,thin,yes,baby,big,pink,traditional,black,short_sleeve,blue,long,clothes,yes,33,5,8,17,1,14,3.161339205,101.7196024,1
1017,08/02/2016,22:49:51,malay,male,thin,no,no_kids,small,green,traditional,grey,short_sleeve,black,long,clothes,yes,40,3,8,25,1,9,3.075273152,101.3874471,3
3815,08/02/2016,9:29:52,malay,female,moderate,yes,toddler,big,grey,formal,brown,long sleeve,pink,long,clothes,no,48,5,7,17,5,12,3.006638574,101.5064263,2
1069,08/02/2016,1:55:00,chinese,male,moderate,yes,toddler,big,pink,casual,red,short_sleeve,blue,short,blankets,no,34,3,7,25,2,14,3.106518802,101.7769152,3
1278,08/02/2016,14:40:27,malay,female,fat,yes,toddler,big,yellow,casual,white,short_sleeve,blue,short,blankets,no,36,5,7,16,5,10,3.078139689,101.5661112,3
3642,08/02/2016,7:12:22,indian,female,moderate,yes,toddler,small,blue,formal,orange,long sleeve,pink,short,clothes,yes,18,5,8,16,0,9,2.985642424,101.5081367,3
2170,08/02/2016,0:49:06,indian,female,thin,no,no_kids,small,yellow,formal,blue,long sleeve,blue,short,blankets,no,25,3,8,47,5,16,3.164773774,101.5930466,3
1290,08/02/2016,3:48:28,malay,male,moderate,yes,young,small,green,traditional,white,long sleeve,blue,long,blankets,no,50,3,9,12,0,19,3.080673628,101.6485697,2
3971,08/02/2016,6:36:59,indian,male,thin,yes,toddler,big,brown,formal,white,short_sleeve,red,short,blankets,yes,52,4,9,11,4,12,3.002550245,101.4133158,1
1451,08/02/2016,19:46:05,chinese,male,fat,yes,young,big,orange,formal,brown,long sleeve,pink,long,blankets,no,55,3,7,60,3,7,3.136524607,101.7300087,3
3916,08/02/2016,10:40:50,foreigner,male,thin,yes,young,small,blue,formal,black,long sleeve,green,long,clothes,yes,39,3,7,34,1,9,3.119721858,101.6896177,1
1455,08/02/2016,23:12:39,malay,male,moderate,yes,toddler,big,brown,casual,red,long sleeve,grey,long,clothes,yes,58,3,7,52,5,9,3.151595284,101.7702283,1
3908,08/02/2016,6:19:05,indian,female,fat,yes,baby,big,pink,casual,green,short_sleeve,black,long,clothes,no,26,3,10,43,5,9,3.079307797,101.6610532,2
3504,08/02/2016,22:34:17,malay,female,thin,yes,young,small,blue,casual,pink,long sleeve,red,long,blankets,no,28,3,7,49,1,21,2.965767621,101.6398911,2
2614,08/02/2016,21:23:44,malay,female,moderate,yes,young,big,blue,formal,green,short_sleeve,black,short,clothes,no,33,5,10,13,2,11,3.072674357,101.686765,3
2262,08/02/2016,22:30:34,foreigner,female,thin,no,no_kids,small,green,casual,orange,long sleeve,blue,long,blankets,no,18,6,7,39,3,15,2.999920777,101.5158494,1
2997,08/02/2016,7:57:43,malay,female,thin,yes,baby,small,red,formal,yellow,short_sleeve,purple,short,clothes,no,25,3,10,26,5,17,3.067800848,101.6916091,3
1677,08/02/2016,9:37:47,foreigner,male,thin,yes,young,small,purple,casual,orange,short_sleeve,black,short,clothes,no,36,3,8,44,0,8,3.025294933,101.5506674,1
909,08/02/2016,6:08:11,malay,male,fat,yes,toddler,big,white,casual,brown,long sleeve,orange,long,blankets,yes,50,5,9,22,2,16,3.104702888,101.6742547,3
2427,08/02/2016,10:22:45,foreigner,male,thin,yes,young,big,purple,traditional,white,long sleeve,orange,short,clothes,no,32,4,10,26,0,10,3.136610978,101.7582253,1
905,08/02/2016,7:56:55,chinese,male,fat,yes,young,small,brown,casual,pink,long sleeve,pink,short,clothes,no,45,3,8,54,1,14,3.106845133,101.6888249,2
835,08/02/2016,21:06:05,indian,female,fat,yes,baby,small,white,casual,orange,short_sleeve,black,long,clothes,yes,41,6,8,36,5,12,3.109228883,101.7830694,1
1722,08/02/2016,10:49:08,indian,male,thin,yes,young,big,black,traditional,black,long sleeve,blue,long,blankets,no,54,6,8,45,2,11,2.92109576,101.6954714,1
3225,08/02/2016,19:16:47,foreigner,female,moderate,yes,baby,big,yellow,formal,blue,long sleeve,blue,short,clothes,no,30,3,9,42,3,17,3.15990849,101.736388,1
3171,08/02/2016,5:32:50,chinese,male,fat,yes,toddler,big,brown,formal,blue,short_sleeve,purple,short,blankets,yes,18,4,9,37,1,16,3.154322068,101.755073,2
3914,08/12/2015,2:16:16,indian,female,fat,yes,toddler,big,pink,traditional,green,short_sleeve,blue,short,blankets,yes,32,4,7,52,3,14,3.1379086,101.7234986,2
3369,08/12/2015,22:26:13,chinese,male,thin,no,no_kids,small,orange,formal,black,short_sleeve,blue,short,blankets,yes,38,6,9,41,0,10,3.091388961,101.6478856,1
1622,08/12/2015,7:59:55,indian,female,moderate,no,no_kids,small,grey,traditional,yellow,short_sleeve,orange,short,blankets,yes,28,5,7,22,3,17,3.155030656,101.7233275,1
1205,08/12/2015,5:46:09,malay,female,thin,yes,toddler,small,red,casual,pink,long sleeve,black,long,clothes,no,54,3,7,42,3,10,3.117399384,101.7489589,3
1309,08/12/2015,11:40:16,chinese,male,moderate,yes,baby,big,orange,casual,black,short_sleeve,blue,short,clothes,no,32,4,7,56,5,10,3.058269885,101.5364941,2
1653,08/12/2015,16:39:56,chinese,female,moderate,yes,toddler,big,red,casual,orange,long sleeve,blue,long,clothes,yes,60,4,9,48,1,12,3.093209497,101.6499794,3
1819,08/12/2015,3:37:40,malay,female,moderate,yes,baby,small,black,formal,orange,short_sleeve,blue,short,blankets,yes,19,5,10,57,3,21,3.079935027,101.6800291,1
1292,08/12/2015,4:37:16,indian,male,thin,yes,toddler,small,white,casual,brown,short_sleeve,purple,short,clothes,no,59,6,9,41,1,14,3.096872947,101.6968614,2
3110,08/12/2015,1:44:49,indian,male,thin,yes,young,small,orange,casual,orange,short_sleeve,blue,short,blankets,no,19,6,9,42,3,11,3.060032228,101.4910458,3
1962,08/12/2015,18:09:19,foreigner,male,fat,yes,young,big,black,casual,brown,long sleeve,purple,short,blankets,yes,47,3,10,52,5,20,3.170858518,101.6117705,1
2785,08/12/2015,7:05:28,foreigner,male,moderate,yes,young,big,red,formal,blue,short_sleeve,black,long,blankets,no,26,6,8,36,2,11,3.107949037,101.6658822,2
1488,08/12/2015,11:52:32,indian,female,fat,yes,baby,big,purple,traditional,black,short_sleeve,yellow,long,clothes,yes,37,6,8,31,5,10,3.07574468,101.4706982,1
1237,08/12/2015,7:09:34,malay,female,moderate,yes,baby,big,white,casual,black,short_sleeve,blue,short,clothes,yes,37,3,9,49,3,21,3.00812226,101.4100535,2
3036,08/12/2015,6:44:36,malay,male,moderate,yes,baby,small,pink,traditional,purple,long sleeve,black,short,blankets,no,42,4,10,20,3,14,3.04564593,101.5444931,1
1728,08/12/2015,11:27:09,malay,male,moderate,yes,young,big,green,formal,green,long sleeve,yellow,long,clothes,no,46,3,8,30,3,18,2.93423585,101.6872183,1
1469,08/12/2015,0:57:14,malay,male,moderate,yes,toddler,big,pink,casual,pink,short_sleeve,orange,long,clothes,no,41,5,8,20,3,21,3.196772083,101.7401673,1
1295,08/12/2015,16:44:28,indian,male,thin,yes,baby,big,white,casual,green,long sleeve,blue,short,clothes,yes,48,6,7,16,2,8,3.06829044,101.4408227,3
2536,08/12/2015,7:04:26,malay,female,moderate,yes,toddler,big,yellow,casual,black,short_sleeve,pink,long,blankets,no,26,3,8,41,5,13,3.079956431,101.5331851,3
2820,08/12/2015,6:31:30,malay,female,thin,yes,toddler,small,red,traditional,grey,long sleeve,blue,short,blankets,no,56,5,8,46,0,12,3.134412143,101.735686,2
2003,08/12/2015,4:11:52,indian,female,thin,no,no_kids,big,yellow,traditional,grey,short_sleeve,black,long,blankets,no,48,4,10,15,0,12,3.107111243,101.7227682,3
3847,08/12/2015,23:49:06,indian,male,moderate,yes,young,big,black,casual,black,long sleeve,black,short,clothes,yes,25,5,8,42,2,10,3.139286479,101.5608021,3
3770,08/12/2015,11:25:04,indian,male,moderate,yes,baby,small,brown,traditional,pink,long sleeve,yellow,long,clothes,no,37,5,7,27,1,18,2.940067802,101.7081527,2
2128,08/12/2015,12:26:21,foreigner,female,moderate,yes,toddler,small,purple,traditional,orange,short_sleeve,brown,short,clothes,yes,46,5,9,47,2,15,3.159676761,101.6363139,3
1800,08/12/2015,23:19:36,foreigner,female,moderate,yes,young,small,white,casual,brown,short_sleeve,blue,short,clothes,no,42,6,7,19,5,9,3.160532308,101.7556656,2
1375,08/12/2015,4:22:37,indian,male,moderate,yes,young,big,grey,casual,black,long sleeve,black,long,blankets,no,26,6,9,57,0,21,3.13300072,101.5591986,1
2308,08/12/2015,10:08:18,chinese,female,moderate,yes,toddler,big,purple,traditional,red,long sleeve,blue,long,clothes,yes,44,5,7,30,3,20,2.939402932,101.6633933,1
1156,08/12/2015,15:21:30,foreigner,male,moderate,yes,toddler,small,red,casual,black,short_sleeve,black,long,blankets,no,54,3,8,32,1,12,3.079847147,101.6784235,1
3026,08/12/2015,5:02:37,malay,male,moderate,no,no_kids,small,pink,casual,yellow,short_sleeve,orange,long,blankets,yes,53,6,10,48,4,11,2.937629838,101.7286312,1
3885,08/12/2015,7:42:54,chinese,male,moderate,yes,toddler,small,orange,traditional,red,short_sleeve,yellow,short,blankets,no,46,6,9,24,1,9,3.101964348,101.5780629,1
2524,08/12/2015,2:23:20,foreigner,male,moderate,yes,toddler,big,orange,traditional,white,long sleeve,green,short,blankets,no,24,3,9,56,2,8,3.007232281,101.4315557,1
2602,08/12/2015,6:38:47,indian,male,moderate,yes,young,big,yellow,formal,yellow,long sleeve,blue,short,clothes,yes,32,5,7,16,3,8,3.133359085,101.6447155,2
2261,08/12/2015,21:38:11,indian,female,thin,no,no_kids,small,pink,formal,grey,short_sleeve,green,short,clothes,no,26,6,10,27,2,7,3.091649846,101.5792462,1
2141,09/01/2016,2:01:48,malay,male,moderate,yes,young,small,purple,traditional,black,long sleeve,black,short,clothes,no,40,5,10,23,3,10,3.010362024,101.5162555,2
2753,09/01/2016,1:59:09,chinese,female,moderate,yes,toddler,big,white,casual,white,long sleeve,white,long,clothes,no,45,5,10,12,3,18,2.904890235,101.6777575,3
3904,09/01/2016,16:39:31,indian,female,moderate,no,no_kids,big,white,formal,brown,long sleeve,brown,short,clothes,no,31,5,10,33,1,16,3.14675442,101.7005408,2
1056,09/01/2016,4:29:42,indian,male,moderate,yes,young,big,black,formal,purple,long sleeve,black,long,clothes,no,47,3,8,43,3,9,3.141615646,101.7375418,3
846,09/01/2016,9:30:58,malay,female,fat,yes,toddler,big,yellow,traditional,red,short_sleeve,black,short,blankets,yes,18,4,8,20,3,9,3.120769183,101.6941531,1
1703,09/01/2016,13:10:02,chinese,female,thin,yes,baby,small,yellow,casual,pink,short_sleeve,brown,short,blankets,yes,42,5,10,58,1,10,3.084207629,101.6604227,1
1099,09/01/2016,16:06:20,chinese,male,thin,yes,young,big,orange,formal,black,short_sleeve,orange,long,clothes,no,46,5,7,21,5,10,3.150616053,101.7215038,2
2395,09/01/2016,3:19:40,chinese,female,thin,yes,toddler,big,red,traditional,white,long sleeve,grey,long,clothes,yes,31,6,8,33,3,16,3.107974312,101.6468807,1
1522,09/01/2016,1:34:31,chinese,male,fat,yes,toddler,small,green,formal,white,short_sleeve,black,short,clothes,no,29,5,7,25,2,14,3.122833803,101.6588176,1
1536,09/01/2016,15:04:23,malay,female,thin,yes,baby,big,yellow,casual,brown,long sleeve,orange,short,blankets,no,57,4,7,53,2,15,3.149636656,101.7603454,2
3551,09/01/2016,15:51:01,chinese,female,moderate,yes,baby,small,green,casual,orange,long sleeve,blue,long,blankets,yes,42,6,7,13,1,8,2.924931051,101.6847688,3
2564,09/01/2016,15:49:36,foreigner,male,moderate,yes,young,small,grey,casual,red,long sleeve,blue,long,clothes,no,46,3,10,54,0,17,3.126675106,101.7606615,2
1202,09/01/2016,7:45:59,malay,female,fat,no,no_kids,small,red,traditional,green,long sleeve,blue,long,clothes,no,20,6,7,19,3,10,3.140658317,101.7276345,1
2890,09/01/2016,19:39:28,indian,female,moderate,yes,toddler,small,black,formal,blue,short_sleeve,blue,short,blankets,yes,41,6,9,48,0,11,2.911565983,101.7095475,3
823,09/01/2016,18:20:30,chinese,female,fat,yes,toddler,big,pink,formal,yellow,short_sleeve,black,long,blankets,no,25,3,8,55,0,11,3.173437062,101.6139448,2
1168,09/01/2016,20:51:20,malay,female,moderate,yes,young,big,green,formal,blue,long sleeve,orange,long,clothes,no,57,4,10,45,5,18,3.068982138,101.6381871,2
2791,09/01/2016,7:07:09,chinese,female,thin,yes,toddler,big,white,formal,black,long sleeve,orange,short,clothes,yes,30,6,9,48,5,13,3.089875811,101.6713394,3
1040,09/01/2016,8:15:35,malay,female,fat,yes,toddler,big,red,formal,white,long sleeve,orange,long,clothes,no,47,5,8,36,5,9,3.104091917,101.6675045,1
3540,09/01/2016,14:45:55,foreigner,female,fat,no,no_kids,small,grey,casual,red,long sleeve,blue,long,clothes,no,40,3,9,60,5,16,2.931629399,101.6633854,3
1098,09/01/2016,0:31:58,malay,male,moderate,no,no_kids,big,green,traditional,black,short_sleeve,black,short,clothes,no,43,6,9,39,3,21,3.039732412,101.5058299,1
2463,09/01/2016,0:40:54,foreigner,male,fat,yes,toddler,small,green,formal,red,long sleeve,blue,short,clothes,yes,40,3,9,49,0,21,2.93563453,101.6424992,3
2071,09/01/2016,1:23:53,foreigner,male,moderate,yes,young,big,white,formal,white,short_sleeve,brown,long,clothes,no,48,6,8,42,1,12,3.096713738,101.5786775,3
2055,09/01/2016,19:51:49,indian,female,moderate,yes,baby,small,green,traditional,red,long sleeve,blue,long,clothes,no,45,3,10,57,5,10,3.06450516,101.6587118,3
2447,09/01/2016,6:58:18,indian,female,fat,no,no_kids,small,pink,traditional,green,short_sleeve,purple,short,blankets,no,21,5,8,42,2,20,3.178986265,101.5645354,3
3195,09/01/2016,12:24:42,malay,female,moderate,yes,young,big,red,formal,white,long sleeve,black,short,clothes,no,30,6,9,37,4,21,3.087358166,101.4512235,1
2538,09/01/2016,18:09:49,indian,female,fat,yes,toddler,big,brown,traditional,purple,long sleeve,blue,short,clothes,no,58,4,10,18,0,8,3.120193842,101.6551019,3
3942,09/01/2016,11:17:39,malay,female,thin,yes,young,small,blue,formal,red,short_sleeve,pink,long,clothes,no,44,5,9,31,1,7,3.070647656,101.687256,2
3194,09/01/2016,12:03:33,indian,male,thin,yes,young,small,black,formal,black,short_sleeve,blue,long,blankets,yes,50,6,10,14,1,13,3.079668918,101.6839464,3
3077,09/01/2016,6:40:20,indian,female,fat,yes,toddler,big,purple,formal,brown,long sleeve,blue,short,clothes,no,39,4,9,32,2,14,3.11550337,101.6518644,2
3072,09/01/2016,15:55:57,indian,female,moderate,yes,baby,small,yellow,casual,blue,short_sleeve,grey,long,blankets,yes,30,5,8,32,5,14,3.132341287,101.7454415,1
2636,09/01/2016,11:27:46,malay,male,fat,yes,toddler,big,orange,casual,black,long sleeve,blue,short,blankets,no,25,5,8,17,1,19,3.156274089,101.7457852,1
3630,09/01/2016,10:06:10,foreigner,male,fat,yes,toddler,big,blue,traditional,white,short_sleeve,blue,long,clothes,no,57,5,8,13,2,21,3.082711132,101.650476,3
1274,09/01/2016,18:11:00,malay,male,fat,yes,baby,small,black,formal,yellow,short_sleeve,blue,long,blankets,yes,46,4,7,42,0,14,3.089726159,101.5423263,3
3710,09/01/2016,19:54:35,foreigner,male,fat,yes,toddler,big,black,casual,pink,short_sleeve,purple,long,blankets,no,38,6,9,34,2,8,2.970201418,101.7199936,2
2990,09/02/2016,13:37:52,foreigner,female,moderate,yes,young,big,grey,formal,white,long sleeve,black,long,blankets,no,21,4,10,26,1,21,3.089316027,101.5689189,3
817,09/02/2016,15:53:44,malay,male,moderate,yes,toddler,big,white,formal,black,short_sleeve,white,long,blankets,no,31,5,8,53,2,19,3.029499007,101.4459665,3
1884,09/02/2016,16:45:42,malay,female,moderate,yes,toddler,small,brown,traditional,orange,long sleeve,grey,short,blankets,yes,25,5,8,44,2,20,2.988852272,101.5072807,2
2656,09/02/2016,10:53:31,foreigner,male,moderate,no,no_kids,big,yellow,casual,grey,short_sleeve,red,short,blankets,no,24,4,8,38,4,19,3.149161764,101.6209708,1
1188,09/02/2016,0:26:09,malay,female,thin,yes,toddler,small,red,casual,black,long sleeve,black,short,clothes,no,37,4,8,47,1,17,3.099003174,101.657598,2
2093,09/02/2016,3:24:13,indian,female,thin,no,no_kids,big,purple,formal,blue,short_sleeve,green,long,clothes,yes,18,3,7,28,1,19,3.07574458,101.6147595,2
2370,09/02/2016,20:25:25,foreigner,female,moderate,no,no_kids,big,red,formal,yellow,short_sleeve,purple,short,blankets,no,20,3,7,18,0,15,3.051064876,101.4487879,3
1429,09/02/2016,16:52:33,indian,female,moderate,yes,toddler,small,blue,traditional,red,short_sleeve,yellow,short,clothes,yes,18,3,10,24,2,11,3.151234046,101.770155,2
1259,09/02/2016,0:23:01,chinese,female,thin,yes,toddler,big,grey,traditional,yellow,long sleeve,black,long,clothes,yes,45,6,7,18,4,21,3.106632651,101.6766203,3
3272,09/02/2016,19:15:03,foreigner,female,fat,yes,young,big,blue,formal,black,short_sleeve,orange,short,blankets,no,47,5,8,52,3,21,2.96520119,101.6809331,3
2408,09/02/2016,7:14:48,indian,male,moderate,yes,toddler,big,blue,casual,green,short_sleeve,black,short,blankets,no,57,4,8,36,4,20,3.097473406,101.6449663,1
3230,09/02/2016,12:33:23,foreigner,female,moderate,no,no_kids,big,yellow,traditional,black,long sleeve,black,long,blankets,yes,49,4,7,53,4,7,3.061888339,101.5681619,3
3801,09/02/2016,6:15:13,malay,female,thin,no,no_kids,small,black,formal,pink,short_sleeve,green,long,clothes,no,53,6,10,22,4,12,2.971398735,101.6738833,1
3430,09/02/2016,21:54:50,indian,female,moderate,yes,baby,big,green,formal,white,long sleeve,purple,short,blankets,no,26,4,8,34,1,15,3.149945436,101.7284695,2
3241,09/02/2016,21:56:29,foreigner,male,fat,no,no_kids,big,green,formal,purple,short_sleeve,orange,long,clothes,no,28,4,7,40,3,20,3.133283203,101.7226676,2
1551,09/02/2016,13:47:29,indian,female,fat,yes,toddler,big,black,traditional,yellow,short_sleeve,orange,long,clothes,no,46,4,10,29,0,21,3.134392505,101.6847392,1
1405,09/02/2016,22:28:41,malay,female,thin,yes,baby,small,yellow,casual,yellow,short_sleeve,blue,long,blankets,no,42,3,8,25,1,17,3.0332297,101.5309459,3
3522,09/02/2016,1:32:00,foreigner,male,moderate,yes,young,big,green,formal,yellow,short_sleeve,black,short,blankets,no,44,6,10,32,5,15,2.925271717,101.6866045,1
1104,09/02/2016,11:55:59,foreigner,male,thin,yes,young,big,red,traditional,grey,long sleeve,yellow,long,blankets,yes,21,3,7,53,3,7,3.05313024,101.5675301,1
3514,09/02/2016,8:19:52,indian,male,fat,yes,toddler,big,orange,traditional,red,long sleeve,red,long,clothes,yes,49,3,9,31,0,14,2.932567874,101.7152646,3
3984,09/02/2016,12:26:56,malay,female,fat,yes,toddler,big,white,traditional,green,long sleeve,red,long,blankets,yes,22,4,9,21,2,17,3.15658783,101.6483152,1
2033,09/02/2016,5:09:00,chinese,male,fat,yes,young,small,orange,traditional,white,short_sleeve,yellow,short,clothes,no,35,6,10,46,0,19,3.10128652,101.7006323,2
1324,09/02/2016,12:53:46,malay,female,fat,yes,young,small,white,casual,black,short_sleeve,blue,short,blankets,no,48,4,7,49,1,18,3.096018381,101.3851031,3
1200,09/02/2016,10:25:41,indian,female,fat,yes,toddler,small,white,formal,white,short_sleeve,blue,long,blankets,no,36,6,10,13,5,16,3.093931872,101.6939179,2
2926,09/02/2016,12:08:31,malay,female,thin,yes,toddler,small,orange,formal,brown,short_sleeve,red,long,blankets,no,34,6,8,48,1,21,3.128088681,101.737341,2
3064,09/02/2016,5:16:08,malay,female,moderate,no,no_kids,small,grey,formal,red,short_sleeve,purple,long,blankets,no,41,6,7,48,3,16,3.074553786,101.5947808,2
3385,09/02/2016,19:34:57,indian,female,moderate,yes,baby,big,yellow,formal,green,long sleeve,orange,short,clothes,no,18,6,7,51,1,21,3.187251838,101.7102481,1
2243,09/02/2016,23:59:11,malay,female,fat,yes,baby,small,blue,casual,brown,short_sleeve,grey,long,blankets,yes,59,6,9,57,1,19,3.068457717,101.3924525,3
3824,09/02/2016,5:58:32,indian,male,thin,yes,baby,big,blue,formal,blue,short_sleeve,white,long,blankets,no,22,6,8,52,3,8,3.099475518,101.7482665,2
991,09/02/2016,3:36:51,chinese,male,thin,no,no_kids,big,blue,traditional,purple,short_sleeve,orange,long,clothes,no,32,4,7,44,1,7,3.00970016,101.4787821,1
3141,09/02/2016,5:54:42,indian,female,moderate,yes,young,big,white,formal,blue,long sleeve,blue,long,clothes,no,46,5,8,47,4,16,2.944804748,101.7263989,1
1765,09/02/2016,21:40:02,malay,female,moderate,yes,baby,big,blue,traditional,black,short_sleeve,brown,short,clothes,yes,54,4,8,21,4,12,3.053165263,101.5626051,3
